text,intent
"make it less spicy",update_profile
"thank you, that helps",thanks
"okay thanks",thanks
"cool, thanks",thanks
"what else can i eat",ask_alternatives
"suggest substitutes for paneer",ask_alternatives
"any alternatives to chicken",ask_alternatives
"show low-carb alternatives",ask_alternatives
"i want more protein today",update_profile
"add more protein",update_profile
"reduce carbs in dinner",update_profile
"i want a cheat meal",get_plan
"one cheat meal suggestion",get_plan
"give me a grocery list for this plan",get_plan
"grocery list",get_plan
"add eggs to shopping list",get_plan
"what should i prepare for next week",get_plan
"how long to see results",advice_general
"how many calories to lose 1 kg a week",ask_calories
"what is a healthy rate of weight loss",advice_general
"why is protein important",advice_general
"how to spread protein across meals",advice_general
"i am pregnant can i follow this",health_query
"is this safe for kids",health_query
"can i use this for hypertension",health_query
"do you suggest supplements",advice_general
"recommend whey protein",advice_general
"where can i find recipes",ask_recipe
"give me a recipe for oats",ask_recipe
"show recipe for grilled chicken",ask_recipe
"how to make masala dosa",ask_recipe
"how to cook quinoa",ask_recipe
"what is a serving of rice",food_query
"how many calories is a cup of rice",food_query
"how to count portions",advice_general
"i want low sugar breakfast",get_plan
"i have celiac disease",health_query
"exclude gluten",update_profile
"i want a pescatarian plan",update_profile
"i prefer fish and veggies",update_profile
"show me high fiber breakfast",get_plan
"recommend meal for PCOS",health_query
"suggest iron rich foods",ask_recipe
"foods high in iron",ask_recipe
"i am allergic to sesame",update_profile
"i have nut allergy add",update_profile
"does almond milk have protein",food_query
"what is the calorie in peanut butter",food_query
"show me a breakfast under 300 calories",get_plan
"give me a lunch under 600 kcal",get_plan
"show me dinner options under 500",get_plan
"i want vegan high protein options",get_plan
"suggest snacks for study time",get_plan
"what to eat on rest day",advice_general
"what to eat on workout day",advice_general
"how to track progress",advice_general
"should i weigh daily",advice_general
"is intermittent fasting good",advice_general
"help me with meal timing",ask_timing
"what should i eat before sleep",ask_timing
"replace butter with olive oil",swap_item
"omit cheese",update_profile
"reduce portion sizes",update_profile
"i prefer small frequent meals",update_profile
"i want three meals only",update_profile
"show me a list of protein rich vegetarian foods",get_plan
"how many eggs per day is ok",health_query
"would you track my weight",food_log
"i ate pasta for dinner",food_log
"recorded lunch: salad",food_log
"what about portion control",advice_general
"i want to reduce sugar intake",update_profile
"exclude sugary drinks",update_profile
"how many calories burned with running",exercise_query
"calories burned by cycling 30 minutes",exercise_query
"i walked 5000 steps today",exercise_log
"add 30 min walk to log",exercise_log
"what are macros",ask_macros
"explain macros",ask_macros
"how to read nutrition label",advice_general
"what is a serving size",advice_general
"i don't want dairy",update_profile
"add lactose intolerance",update_profile
"what alternatives to milk",ask_alternatives
"show low fat recipes",get_plan
"track my progress weekly",food_log
"show weekly summary",food_log
"I want a maintenance plan",get_plan
"give me a plan for bulking",get_plan
"suggest pre workout carbohydrate snack",ask_timing
"suggest post workout protein shake",ask_timing
"i have gallbladder issues",health_query
"i have kidney problems, what to avoid",health_query
"exclude soy",update_profile
"no soy please",update_profile
"i want a high calorie vegetarian plan",get_plan
"i want low cholesterol diet",get_plan
"thank you so much",thanks
"thanks very much",thanks
"you are helpful",thanks
