id,name,course,portion_desc,kcal,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,gi,cost_score,prep_time_min,diet_type,veg_type,tags,ingredients
D4,Jowar Roti (2) + Dal (Dinner),dinner,2 roti + 1 cup dal,440,55,17,7,8,550,49,3,35,veg,veg,"gf,low_gi,light_dinner","atta, lentils, salt, spices, turmeric, water, wheat"
D5,Brown Rice + Kadhi (Dinner),dinner,1 cup rice + 1 cup kadhi,430,67,14,7,4,600,55,3,35,veg,veg,light_dinner,"rice, salt, spices, water"
D6,Vegetable Khichdi (Dinner),dinner,1.5 cups,390,65,14,4,6,490,50,3,35,veg,veg,"comfort,light_dinner","ghee, lentils, rice, salt, spices"
D7,Millet Khichdi (GF) (Dinner),dinner,1 bowl,350,51,12,6,5,380,47,3,35,veg,veg,"gf,low_gi,light_dinner","ghee, lentils, rice, salt, spices"
D8,Vegetable Pulao + Raita (Dinner),dinner,1 cup pulao + 1/2 cup raita,450,73,10,8,5,660,62,3,35,veg,veg,light_dinner,"rice, salt, spices, water"
D9,Palak Paneer + Roti (2) (Dinner),dinner,1 cup + 2 roti,530,47,22,24,5,740,50,3,35,veg,veg,"high_protein,light_dinner","atta, milk, oil, paneer, salt, spices, water, wheat"
D10,Paneer Tikka + Roti (2) (Dinner),dinner,6 pcs + 2 roti,510,45,24,22,5,710,50,3,35,veg,veg,"high_protein,light_dinner","atta, milk, oil, paneer, salt, spices, water, wheat"
D11,Veg Korma + Paratha (1) (Dinner),dinner,1 cup + 1 paratha,560,55,14,22,6,780,58,3,35,veg,veg,light_dinner,"atta, salt, spices, water, wheat"
D12,Sambar Rice + Curd (Dinner),dinner,1 bowl + 1/2 cup curd,450,77,14,4,6,640,60,3,35,veg,veg,"comfort,light_dinner","rice, salt, spices, water"
D13,Dal Makhani + Rice (Dinner),dinner,1 cup + 1 cup rice,550,67,18,16,10,720,55,3,35,veg,veg,light_dinner,"lentils, rice, salt, spices, turmeric, water"
D14,Tawa Subzi + Roti (2) (Dinner),dinner,1 cup + 2 roti,400,55,10,8,7,560,58,3,35,veg,veg,light_dinner,"atta, salt, spices, water, wheat"
D15,Veg Stew + Appam (2) (Dinner),dinner,1 cup + 2 appam,470,67,8,12,4,600,63,3,35,veg,veg,light_dinner,"salt, spices"
D16,Dal Tadka + Roti (2) (Dinner),dinner,1 cup + 2 roti,430,60,16,7,7,580,57,3,35,veg,veg,light_dinner,"atta, lentils, salt, spices, turmeric, water, wheat"
D17,Curd + Millet (Dinner),dinner,1 bowl,350,51,12,6,5,380,49,3,35,veg,veg,"gf,light_dinner","salt, spices"
D18,Fish Curry + Rice (Dinner),dinner,1 cup curry + 1 cup rice,510,55,32,12,3,660,55,3,35,nonveg,nonveg,light_dinner,"fish, oil, onion, rice, salt, spices, tomato, water"
D19,Chicken Curry + Rice (Dinner),dinner,1 cup curry + 1 cup rice,530,57,34,14,3,680,55,3,35,nonveg,nonveg,light_dinner,"chicken, oil, onion, rice, salt, spices, tomato, water"
D20,Egg Curry + Rice (Dinner),dinner,2 eggs + 1 cup gravy + 1 cup rice,490,53,26,16,3,650,55,3,35,eggetarian,nonveg,light_dinner,"egg, oil, onion, rice, salt, spices, tomato, water"
J1,Bajra Roti + Dal (Jain),lunch,2 roti + 1 cup dal,480,62,18,10,8,600,46,3,30,jain,veg,"jain_safe,low_gi","atta, lentils, salt, spices, turmeric, water, wheat"
J2,Vegetable Khichdi (Jain),lunch,1.5 cups,420,70,14,6,6,530,48,3,30,jain,veg,"jain_safe,low_gi","ghee, lentils, rice, salt, spices"
J3,Millet Khichdi (Jain),lunch,1 bowl,380,56,12,8,5,420,45,3,30,jain,veg,"jain_safe,low_gi","ghee, lentils, rice, salt, spices"
J4,Dal Tadka + Roti (Jain),lunch,1 cup + 2 roti,460,65,16,9,7,620,55,3,30,jain,veg,"jain_safe,low_gi","atta, lentils, salt, spices, turmeric, water, wheat"
S1,Paneer Tikka,snack,6 pieces,300,10,22,18,1,520,35,2,10,veg,veg,high_protein,"milk, oil, paneer, salt, spices"
S2,Chicken Tikka (Grilled),snack,150 g,280,6,36,11,1,520,35,2,10,nonveg,nonveg,high_protein,"chicken, oil, salt, spices"
S3,Roasted Chana,snack,30 g,160,26,9,2,6,120,35,1,10,veg,veg,"high_protein,budget","salt, spices"
S4,Sprouts Salad,snack,1 bowl,180,32,12,2,6,200,35,2,10,veg,veg,"high_protein,low_gi","salt, spices"
S5,Fruit Bowl (Apple/Guava),snack,1 bowl,150,38,1,0,4,10,55,2,10,veg,veg,low_gi,"salt, spices"
S6,Buttermilk (Low Salt),snack,1 glass,80,12,3,1,0,80,35,2,10,veg,veg,hydrating,"salt, spices"
S7,Sweet Lassi,snack,1 glass,180,26,7,5,0,150,45,2,10,veg,veg,,"salt, spices"
S8,Bhel Puri,snack,1 plate,260,44,7,6,4,820,60,2,10,veg,veg,"street,high_sodium","salt, spices"
S9,Samosa,snack,1 piece,300,36,6,14,3,560,63,2,10,veg,veg,fried,"salt, spices"
S10,Masala Corn,snack,1 cup,190,36,5,2,4,240,60,2,10,veg,veg,quick,"salt, spices"
S11,Dahi Vada,snack,2 pieces,320,42,12,10,4,520,55,2,10,veg,veg,,"salt, spices"
S12,Paneer Tikka (Spiced),snack,8 pieces,300,10,22,18,1,520,35,2,10,veg,veg,high_protein,"milk, oil, paneer, salt, spices"
S13,Grilled Chicken Strips,snack,150 g,280,6,36,11,1,520,35,2,10,nonveg,nonveg,high_protein,"chicken, oil, salt, spices"
S14,Masala Roasted Chana,snack,35 g,160,26,9,2,6,120,35,2,12,veg,veg,"high_protein,spicy","salt, spices"
S15,Sprouts + Cucumber,snack,1 bowl,180,32,12,2,6,200,35,2,12,veg,veg,"high_protein,low_gi","salt, spices"
S16,Seasonal Fruit Plate,snack,1 plate,150,38,1,0,4,10,55,2,12,veg,veg,,"salt, spices"
S17,Spiced Buttermilk,snack,1 glass,80,12,3,1,0,80,35,2,12,veg,veg,hydrating,"salt, spices"
S18,Paneer Tikka (Mint),snack,6 pieces,300,10,22,18,1,520,35,2,12,veg,veg,high_protein,"milk, oil, paneer, salt, spices"
S19,Chicken Tikka (Mint),snack,150 g,280,6,36,11,1,520,35,2,12,nonveg,nonveg,high_protein,"chicken, oil, salt, spices"
