age,gender,met,duration,frequency,weekly_met,label
40,1,3.0,45,7,945.0,Moderate
50,0,2.8,60,4,672.0,Moderate
29,0,4.0,20,3,240.0,Sedentary
27,1,9.5,60,6,3420.0,Very Active
74,0,8.0,30,6,1440.0,Active
67,1,2.5,45,2,225.0,Sedentary
24,1,10.0,20,6,1200.0,Moderate
38,0,6.0,30,2,360.0,Light
61,0,0.9,60,4,216.0,Sedentary
19,0,9.0,30,2,540.0,Light
50,1,1.2,60,2,144.0,Sedentary
33,0,8.0,45,2,720.0,Moderate
40,0,5.0,30,4,600.0,Moderate
58,0,2.8,30,1,84.0,Sedentary
44,0,6.0,45,1,270.0,Sedentary
62,0,7.0,45,2,630.0,Moderate
35,0,5.5,20,5,550.0,Light
62,1,6.0,20,3,360.0,Light
49,0,6.0,20,6,720.0,Moderate
41,1,10.0,20,7,1400.0,Active
43,0,9.5,60,4,2280.0,Very Active
40,0,10.0,30,5,1500.0,Active
24,0,3.0,30,1,90.0,Sedentary
49,0,3.8,60,4,912.0,Moderate
25,0,3.8,60,5,1140.0,Moderate
67,1,5.0,30,2,300.0,Light
43,1,7.0,30,1,210.0,Sedentary
63,1,8.0,60,3,1440.0,Active
68,0,3.0,30,1,90.0,Sedentary
44,1,2.8,60,1,168.0,Sedentary
73,0,6.0,60,4,1440.0,Active
53,1,9.5,45,4,1710.0,Very Active
43,0,2.5,45,1,112.5,Sedentary
48,0,3.5,45,2,315.0,Light
43,0,8.0,20,1,160.0,Sedentary
68,0,4.0,60,2,480.0,Moderate
70,0,1.2,20,3,72.0,Sedentary
43,0,1.5,20,4,120.0,Sedentary
61,0,10.0,45,4,1800.0,Very Active
65,0,1.3,20,7,182.0,Sedentary
72,0,1.5,20,4,120.0,Sedentary
20,0,2.0,20,5,200.0,Sedentary
67,1,2.0,45,4,360.0,Light
52,1,10.0,45,4,1800.0,Very Active
33,0,7.0,20,2,280.0,Sedentary
71,1,9.5,60,3,1710.0,Very Active
44,0,3.8,20,5,380.0,Light
43,0,2.8,30,1,84.0,Sedentary
38,0,8.0,20,5,800.0,Moderate
32,0,9.0,20,3,540.0,Light
54,0,5.0,20,4,400.0,Light
56,1,3.8,20,3,228.0,Sedentary
71,1,8.0,30,7,1680.0,Very Active
49,0,8.0,60,3,1440.0,Active
33,0,10.0,45,6,2700.0,Very Active
26,1,9.0,45,5,2025.0,Very Active
33,1,3.5,60,4,840.0,Moderate
48,1,2.0,20,4,160.0,Sedentary
74,1,4.0,20,5,400.0,Light
56,0,8.0,45,4,1440.0,Active
72,0,2.0,45,6,540.0,Moderate
31,0,8.0,20,5,800.0,Moderate
38,0,5.0,45,1,225.0,Sedentary
31,1,9.0,60,4,2160.0,Very Active
74,1,6.0,60,4,1440.0,Active
66,1,6.0,30,3,540.0,Moderate
25,0,6.0,45,6,1620.0,Active
45,1,6.0,30,4,720.0,Moderate
33,1,10.0,20,6,1200.0,Active
31,0,8.0,30,3,720.0,Moderate
18,1,3.5,45,4,630.0,Moderate
43,0,3.8,45,6,1026.0,Moderate
41,0,10.0,45,2,900.0,Moderate
62,1,7.0,45,3,945.0,Active
31,0,8.0,30,5,1200.0,Active
58,0,5.5,45,1,247.5,Light
38,1,3.0,20,3,180.0,Sedentary
59,1,6.0,60,4,1440.0,Active
33,0,6.0,60,2,720.0,Moderate
23,0,7.0,20,5,700.0,Moderate
67,0,6.0,60,6,2160.0,Very Active
40,1,8.0,60,3,1440.0,Active
21,1,1.2,30,4,144.0,Sedentary
30,0,6.0,45,1,270.0,Sedentary
28,1,8.0,60,1,480.0,Light
59,1,9.0,30,6,1620.0,Very Active
22,0,6.0,30,2,360.0,Light
60,0,7.3,20,4,584.0,Moderate
52,0,3.3,45,6,891.0,Moderate
75,0,6.0,45,1,270.0,Light
40,1,6.0,45,7,1890.0,Very Active
46,0,6.0,45,1,270.0,Light
21,1,5.5,20,7,770.0,Moderate
72,1,2.8,20,4,224.0,Light
41,0,3.8,45,6,1026.0,Moderate
38,1,0.9,45,1,40.5,Sedentary
38,1,1.5,20,1,30.0,Sedentary
65,0,8.0,45,7,2520.0,Very Active
35,1,8.0,45,3,1080.0,Moderate
62,0,1.5,30,1,45.0,Sedentary
25,1,8.0,30,5,1200.0,Moderate
73,1,9.0,60,6,3240.0,Very Active
19,1,9.0,45,5,2025.0,Active
19,1,1.5,30,5,225.0,Sedentary
71,1,4.0,45,5,900.0,Active
70,1,6.0,30,5,900.0,Active
72,1,1.5,20,2,60.0,Sedentary
24,1,6.0,60,4,1440.0,Active
31,0,2.0,45,1,90.0,Sedentary
30,0,8.0,60,4,1920.0,Active
42,0,7.0,30,6,1260.0,Active
52,1,7.0,30,5,1050.0,Active
72,0,6.0,45,7,1890.0,Very Active
55,1,2.0,45,6,540.0,Moderate
34,0,4.0,30,3,360.0,Light
39,0,3.5,45,7,1102.5,Moderate
52,1,2.5,60,6,900.0,Moderate
38,1,5.0,30,6,900.0,Moderate
74,0,7.0,60,3,1260.0,Active
63,1,10.0,20,4,800.0,Moderate
69,1,5.5,30,7,1155.0,Active
38,0,10.0,45,3,1350.0,Active
28,0,6.0,60,3,1080.0,Moderate
51,1,8.0,60,5,2400.0,Very Active
47,0,6.0,20,6,720.0,Moderate
53,1,4.0,60,7,1680.0,Very Active
29,1,3.5,20,5,350.0,Light
18,1,2.0,20,5,200.0,Sedentary
62,0,10.0,20,1,200.0,Sedentary
73,0,3.8,60,7,1596.0,Very Active
30,0,7.0,30,3,630.0,Moderate
23,0,2.8,20,5,280.0,Sedentary
51,1,7.0,30,5,1050.0,Active
32,1,6.0,20,3,360.0,Light
31,0,7.0,45,3,945.0,Moderate
62,0,7.0,45,6,1890.0,Very Active
42,1,2.8,60,3,504.0,Light
65,0,0.9,45,2,81.0,Sedentary
55,1,10.0,30,2,600.0,Moderate
23,0,2.0,20,7,280.0,Sedentary
59,0,7.0,60,2,840.0,Moderate
61,1,7.0,45,3,945.0,Active
22,0,2.8,45,2,251.99999999999997,Sedentary
35,0,2.8,45,5,629.9999999999999,Moderate
23,0,7.3,30,3,657.0,Moderate
42,1,4.0,30,1,120.0,Sedentary
61,0,3.0,20,1,60.0,Sedentary
60,0,4.0,20,2,160.0,Sedentary
45,0,6.0,60,6,2160.0,Very Active
57,1,9.0,45,3,1215.0,Active
56,0,2.5,45,2,225.0,Sedentary
63,1,3.8,60,3,684.0,Moderate
57,1,8.0,60,7,3360.0,Very Active
31,1,4.0,30,1,120.0,Sedentary
22,0,0.9,30,5,135.0,Sedentary
42,0,1.2,20,6,144.0,Sedentary
26,1,1.2,30,4,144.0,Sedentary
30,0,1.5,60,3,270.0,Sedentary
47,1,3.3,20,5,330.0,Light
67,0,1.3,45,3,175.5,Sedentary
33,1,8.0,20,1,160.0,Sedentary
33,1,6.0,45,5,1350.0,Active
67,1,3.8,60,2,456.0,Light
38,0,7.3,60,7,3066.0,Very Active
36,1,7.0,60,4,1680.0,Active
36,1,7.0,45,3,945.0,Moderate
67,0,7.0,20,6,840.0,Moderate
65,1,3.3,45,5,742.5,Moderate
22,0,7.0,60,4,1680.0,Active
60,1,3.3,60,5,990.0,Active
43,1,8.0,20,4,640.0,Moderate
65,1,1.2,45,1,54.0,Sedentary
20,1,1.3,60,7,546.0,Light
57,0,7.0,45,3,945.0,Moderate
70,1,7.0,45,3,945.0,Active
64,0,6.0,20,7,840.0,Moderate
22,0,7.0,20,5,700.0,Moderate
21,0,1.5,45,6,405.0,Light
34,1,3.8,60,5,1140.0,Moderate
36,1,6.0,20,3,360.0,Light
39,0,6.0,45,7,1890.0,Very Active
25,0,5.5,30,3,495.0,Light
32,1,2.0,30,7,420.0,Light
30,0,0.9,60,5,270.0,Sedentary
26,1,7.0,20,2,280.0,Sedentary
27,0,10.0,20,2,400.0,Light
45,0,7.0,60,4,1680.0,Active
48,1,7.0,20,1,140.0,Sedentary
71,0,6.0,45,2,540.0,Moderate
48,0,9.5,60,2,1140.0,Active
45,1,3.0,60,6,1080.0,Active
74,0,7.0,60,3,1260.0,Active
39,0,2.8,30,4,336.0,Light
74,0,0.9,45,4,162.0,Sedentary
19,1,4.0,30,6,720.0,Moderate
20,1,7.0,30,5,1050.0,Moderate
56,0,6.0,20,1,120.0,Sedentary
38,1,6.0,20,1,120.0,Sedentary
40,1,4.0,60,5,1200.0,Active
27,0,5.0,30,7,1050.0,Moderate
22,1,7.0,60,2,840.0,Moderate
41,0,3.5,45,4,630.0,Moderate
65,1,1.2,45,6,324.0,Light
23,0,1.2,20,1,24.0,Sedentary
29,1,6.0,20,1,120.0,Sedentary
48,0,7.0,30,4,840.0,Moderate
48,1,2.0,20,7,280.0,Light
43,0,3.8,45,2,342.0,Light
35,1,6.0,60,6,2160.0,Very Active
59,0,3.8,30,7,798.0,Moderate
41,0,6.0,20,1,120.0,Sedentary
39,1,1.2,45,4,216.0,Sedentary
61,0,7.0,60,2,840.0,Moderate
52,0,2.5,45,7,787.5,Moderate
18,1,7.0,30,2,420.0,Light
42,1,4.0,20,3,240.0,Sedentary
19,1,8.0,20,1,160.0,Sedentary
50,0,2.8,45,6,755.9999999999999,Moderate
30,0,3.0,30,7,630.0,Moderate
52,0,6.0,45,7,1890.0,Very Active
58,1,3.0,30,7,630.0,Moderate
21,0,0.9,60,6,324.0,Light
53,0,3.0,45,3,405.0,Light
42,1,1.5,20,2,60.0,Sedentary
63,0,10.0,30,5,1500.0,Active
65,1,6.0,30,7,1260.0,Active
71,0,8.0,30,6,1440.0,Active
62,1,1.5,20,7,210.0,Sedentary
58,1,6.0,30,2,360.0,Light
53,0,3.8,30,5,570.0,Moderate
39,0,6.0,20,6,720.0,Moderate
71,0,1.5,60,5,450.0,Moderate
75,1,3.0,60,1,180.0,Sedentary
56,1,4.0,30,3,360.0,Light
70,0,3.8,60,3,684.0,Moderate
66,1,1.2,30,6,216.0,Sedentary
37,0,6.0,60,5,1800.0,Active
65,0,2.0,20,7,280.0,Light
20,1,2.5,30,5,375.0,Light
50,0,2.5,45,1,112.5,Sedentary
69,0,5.5,30,6,990.0,Active
44,0,4.0,20,5,400.0,Light
56,0,3.8,20,1,76.0,Sedentary
51,0,7.0,60,6,2520.0,Very Active
20,0,10.0,60,4,2400.0,Very Active
65,0,7.0,60,5,2100.0,Very Active
65,0,7.3,45,7,2299.5,Very Active
30,0,8.0,20,7,1120.0,Moderate
46,1,3.8,30,7,798.0,Moderate
58,0,8.0,45,6,2160.0,Very Active
22,1,2.0,30,2,120.0,Sedentary
59,1,4.0,20,4,320.0,Light
58,0,1.2,30,6,216.0,Sedentary
62,0,3.3,45,2,297.0,Light
31,0,1.5,45,7,472.5,Light
49,1,10.0,30,2,600.0,Moderate
21,1,6.0,60,6,2160.0,Very Active
27,1,7.3,45,6,1971.0,Active
31,0,8.0,20,2,320.0,Light
44,0,2.5,30,7,525.0,Light
28,1,1.5,30,2,90.0,Sedentary
70,0,2.5,60,5,750.0,Moderate
22,1,9.5,30,7,1995.0,Active
30,1,2.5,30,5,375.0,Light
59,1,7.0,45,2,630.0,Moderate
54,1,3.0,60,2,360.0,Light
63,1,7.3,30,6,1314.0,Active
65,1,4.0,60,3,720.0,Moderate
18,0,4.0,30,7,840.0,Moderate
62,0,9.5,45,4,1710.0,Very Active
37,0,3.8,60,2,456.0,Light
40,1,0.9,30,5,135.0,Sedentary
53,0,4.0,45,3,540.0,Moderate
39,1,3.0,45,7,945.0,Moderate
44,1,1.5,20,2,60.0,Sedentary
23,0,0.9,60,5,270.0,Sedentary
27,1,7.0,60,6,2520.0,Very Active
35,0,9.0,20,4,720.0,Moderate
18,0,6.0,20,6,720.0,Moderate
55,0,7.0,60,3,1260.0,Active
32,1,4.0,60,3,720.0,Moderate
63,1,7.0,30,6,1260.0,Active
73,0,3.3,30,2,198.0,Sedentary
41,1,7.0,60,5,2100.0,Very Active
30,0,8.0,45,1,360.0,Light
74,0,3.0,60,7,1260.0,Active
31,1,2.5,30,6,450.0,Light
67,0,3.0,20,3,180.0,Sedentary
30,0,4.0,20,4,320.0,Light
52,0,3.8,20,7,532.0,Moderate
45,1,8.0,30,1,240.0,Sedentary
75,0,1.5,30,2,90.0,Sedentary
40,0,8.0,30,6,1440.0,Active
18,1,0.9,60,7,378.0,Light
32,0,1.5,20,5,150.0,Sedentary
62,1,5.0,30,2,300.0,Light
31,1,9.5,20,2,380.0,Light
71,1,8.0,30,7,1680.0,Very Active
18,0,8.0,30,1,240.0,Sedentary
55,0,3.3,30,5,495.0,Moderate
65,0,9.5,30,7,1995.0,Very Active
57,1,2.0,30,1,60.0,Sedentary
60,0,4.0,20,6,480.0,Moderate
53,0,4.0,60,1,240.0,Sedentary
43,0,3.3,45,3,445.5,Light
39,0,9.0,20,1,180.0,Sedentary
47,1,8.0,60,7,3360.0,Very Active
18,1,6.0,30,3,540.0,Light
26,1,7.0,20,3,420.0,Light
73,0,3.0,20,5,300.0,Light
74,1,7.0,20,7,980.0,Active
23,0,5.0,60,5,1500.0,Active
63,1,1.5,30,5,225.0,Sedentary
51,1,7.0,20,7,980.0,Moderate
40,0,3.0,30,2,180.0,Sedentary
63,0,2.5,45,4,450.0,Light
39,1,8.0,30,4,960.0,Moderate
58,0,3.8,45,1,171.0,Sedentary
30,0,2.8,30,7,588.0,Light
34,0,7.0,30,4,840.0,Moderate
40,0,8.0,20,6,960.0,Moderate
44,1,5.0,60,5,1500.0,Active
19,0,10.0,45,5,2250.0,Very Active
32,0,9.0,60,4,2160.0,Very Active
63,1,7.0,45,3,945.0,Active
61,0,5.0,20,5,500.0,Moderate
41,1,3.0,45,3,405.0,Light
31,1,3.8,60,2,456.0,Light
23,0,3.5,45,6,945.0,Moderate
39,1,4.0,30,4,480.0,Light
34,1,1.2,20,7,168.0,Sedentary
64,1,9.0,30,7,1890.0,Very Active
44,0,1.2,20,7,168.0,Sedentary
68,1,6.0,45,5,1350.0,Active
41,1,8.0,30,3,720.0,Moderate
21,1,3.8,45,7,1197.0,Moderate
24,0,5.0,60,3,900.0,Moderate
36,1,9.5,60,4,2280.0,Very Active
70,1,1.5,30,2,90.0,Sedentary
45,1,2.5,20,5,250.0,Sedentary
70,0,3.0,20,5,300.0,Light
72,0,7.0,20,7,980.0,Active
67,0,2.5,45,7,787.5,Moderate
28,0,8.0,20,6,960.0,Moderate
44,1,1.2,45,1,54.0,Sedentary
72,1,1.3,60,2,156.0,Sedentary
75,0,7.0,60,5,2100.0,Very Active
40,0,4.0,45,7,1260.0,Active
39,0,4.0,30,4,480.0,Light
31,0,1.3,45,4,234.0,Sedentary
24,1,2.8,60,1,168.0,Sedentary
68,1,0.9,60,6,324.0,Light
68,1,6.0,30,6,1080.0,Active
42,0,4.0,60,4,960.0,Moderate
56,0,8.0,20,6,960.0,Moderate
25,1,3.3,60,7,1386.0,Active
49,0,3.8,30,7,798.0,Moderate
72,1,6.0,45,3,810.0,Moderate
66,1,1.5,60,2,180.0,Sedentary
45,0,7.3,45,2,657.0,Moderate
25,0,3.5,30,2,210.0,Sedentary
73,1,3.0,30,6,540.0,Moderate
54,0,2.8,20,3,168.0,Sedentary
68,1,6.0,45,2,540.0,Moderate
54,1,0.9,30,7,189.0,Sedentary
21,0,1.2,60,4,288.0,Sedentary
70,0,3.5,30,1,105.0,Sedentary
51,0,9.0,30,5,1350.0,Active
75,0,8.0,30,2,480.0,Moderate
69,0,6.0,30,3,540.0,Moderate
33,0,10.0,30,4,1200.0,Active
58,0,6.0,20,5,600.0,Moderate
23,0,6.0,45,3,810.0,Moderate
37,0,1.5,20,7,210.0,Sedentary
41,1,7.0,60,1,420.0,Light
60,0,6.0,60,2,720.0,Moderate
53,1,3.5,20,4,280.0,Light
36,1,7.0,30,6,1260.0,Active
72,1,3.0,30,2,180.0,Sedentary
66,0,1.5,20,2,60.0,Sedentary
74,1,7.3,60,1,438.0,Light
48,1,7.0,60,6,2520.0,Very Active
43,0,7.0,30,5,1050.0,Moderate
57,0,6.0,60,3,1080.0,Active
31,0,7.0,60,7,2940.0,Very Active
27,0,3.5,20,5,350.0,Light
27,0,7.0,45,2,630.0,Moderate
45,1,6.0,20,3,360.0,Light
30,0,3.0,60,3,540.0,Light
25,0,6.0,30,2,360.0,Light
20,1,4.0,20,5,400.0,Light
24,1,5.0,30,5,750.0,Moderate
41,1,2.8,45,6,755.9999999999999,Moderate
73,1,5.5,20,3,330.0,Light
37,0,4.0,30,6,720.0,Moderate
37,0,9.5,30,1,285.0,Sedentary
38,0,2.0,45,2,180.0,Sedentary
46,1,7.3,30,5,1095.0,Active
52,1,8.0,30,7,1680.0,Active
41,1,8.0,20,4,640.0,Moderate
20,1,7.3,20,2,292.0,Sedentary
55,0,1.2,45,5,270.0,Light
33,0,2.8,60,5,840.0,Moderate
47,0,6.0,45,7,1890.0,Very Active
66,1,7.0,20,4,560.0,Moderate
49,1,6.0,60,1,360.0,Light
50,0,1.5,30,3,135.0,Sedentary
38,0,8.0,45,2,720.0,Moderate
20,0,4.0,30,3,360.0,Light
33,0,2.5,45,1,112.5,Sedentary
18,0,1.3,60,4,312.0,Light
55,1,4.0,60,2,480.0,Light
48,1,10.0,60,4,2400.0,Very Active
18,1,8.0,60,5,2400.0,Very Active
34,0,4.0,20,4,320.0,Light
69,1,1.2,20,6,144.0,Sedentary
28,1,3.0,60,6,1080.0,Moderate
58,0,7.0,20,4,560.0,Moderate
49,0,1.5,30,5,225.0,Sedentary
40,0,6.0,45,3,810.0,Moderate
40,1,9.0,45,6,2430.0,Very Active
18,0,8.0,45,5,1800.0,Active
61,1,4.0,20,2,160.0,Sedentary
23,1,2.5,60,2,300.0,Sedentary
33,0,9.5,45,3,1282.5,Active
55,1,7.3,30,1,219.0,Sedentary
49,0,2.0,60,1,120.0,Sedentary
57,1,6.0,45,7,1890.0,Very Active
66,1,1.5,45,7,472.5,Moderate
52,0,8.0,20,6,960.0,Moderate
30,0,7.0,45,3,945.0,Moderate
47,1,7.0,60,5,2100.0,Very Active
29,0,2.8,60,6,1008.0,Moderate
28,1,2.5,60,5,750.0,Moderate
44,0,9.0,45,5,2025.0,Very Active
33,1,1.3,20,2,52.0,Sedentary
31,1,10.0,60,3,1800.0,Active
64,1,1.5,60,5,450.0,Light
26,0,10.0,30,7,2100.0,Very Active
54,1,2.5,45,3,337.5,Light
23,1,2.5,20,2,100.0,Sedentary
33,1,9.5,45,7,2992.5,Very Active
55,1,4.0,45,1,180.0,Sedentary
51,0,6.0,20,7,840.0,Moderate
71,0,2.8,20,1,56.0,Sedentary
71,0,6.0,20,7,840.0,Moderate
65,1,2.0,20,6,240.0,Light
62,0,3.3,60,1,198.0,Sedentary
23,0,10.0,45,5,2250.0,Very Active
29,0,1.3,45,2,117.0,Sedentary
64,0,1.5,20,4,120.0,Sedentary
43,1,8.0,30,2,480.0,Light
68,1,5.5,20,4,440.0,Light
39,0,7.0,60,4,1680.0,Active
27,1,0.9,30,2,54.0,Sedentary
36,1,2.5,30,5,375.0,Light
49,1,8.0,60,2,960.0,Moderate
33,1,3.5,45,4,630.0,Moderate
51,1,2.5,30,3,225.0,Sedentary
34,0,10.0,45,5,2250.0,Very Active
32,1,1.2,30,2,72.0,Sedentary
28,0,6.0,45,2,540.0,Light
37,0,10.0,60,4,2400.0,Very Active
75,0,3.3,60,2,396.0,Light
25,0,4.0,45,7,1260.0,Active
56,0,3.0,60,1,180.0,Sedentary
61,1,2.5,60,5,750.0,Moderate
48,1,7.0,45,4,1260.0,Active
70,0,10.0,45,7,3150.0,Very Active
71,1,1.2,45,7,378.0,Light
49,1,7.0,30,5,1050.0,Active
18,0,2.5,30,7,525.0,Light
43,1,3.0,45,7,945.0,Moderate
27,1,6.0,60,4,1440.0,Active
59,1,4.0,30,1,120.0,Sedentary
58,1,2.0,60,3,360.0,Light
46,1,8.0,30,1,240.0,Sedentary
29,1,7.0,45,1,315.0,Light
56,0,2.0,20,3,120.0,Sedentary
25,1,10.0,45,1,450.0,Light
41,1,7.0,30,3,630.0,Moderate
20,1,9.0,30,1,270.0,Sedentary
25,1,2.8,20,5,280.0,Sedentary
19,0,3.5,45,5,787.5,Moderate
32,0,6.0,30,7,1260.0,Active
58,0,2.5,45,2,225.0,Sedentary
53,0,0.9,20,3,54.0,Sedentary
68,0,1.2,45,1,54.0,Sedentary
59,0,3.0,60,4,720.0,Moderate
43,0,9.5,60,6,3420.0,Very Active
20,0,2.0,45,3,270.0,Sedentary
30,0,3.8,60,1,228.0,Sedentary
29,0,9.0,30,3,810.0,Moderate
62,0,8.0,45,5,1800.0,Very Active
34,0,9.0,20,5,900.0,Moderate
46,0,3.0,30,2,180.0,Sedentary
29,0,2.0,45,3,270.0,Sedentary
64,1,2.5,45,4,450.0,Light
68,0,9.0,30,3,810.0,Moderate
71,1,9.0,20,6,1080.0,Active
20,1,7.3,20,2,292.0,Sedentary
20,0,2.8,30,3,252.0,Sedentary
32,1,1.5,30,2,90.0,Sedentary
61,0,10.0,20,2,400.0,Light
58,0,9.5,20,2,380.0,Light
62,1,2.0,60,3,360.0,Light
25,0,9.0,30,1,270.0,Sedentary
23,0,5.5,60,6,1980.0,Active
64,0,4.0,20,3,240.0,Light
74,0,2.5,20,7,350.0,Light
61,0,8.0,30,1,240.0,Light
56,0,8.0,45,1,360.0,Light
26,0,9.5,20,2,380.0,Light
43,1,3.3,20,6,396.0,Light
40,0,2.5,20,1,50.0,Sedentary
71,1,2.5,20,3,150.0,Sedentary
69,0,4.0,60,2,480.0,Moderate
41,1,5.5,30,6,990.0,Moderate
66,1,2.8,30,5,420.0,Light
32,0,5.5,30,7,1155.0,Moderate
40,0,8.0,20,4,640.0,Moderate
60,0,8.0,30,4,960.0,Active
46,1,1.2,30,5,180.0,Sedentary
60,0,8.0,30,3,720.0,Moderate
37,1,4.0,30,7,840.0,Moderate
38,1,6.0,30,5,900.0,Moderate
63,0,7.3,60,6,2628.0,Very Active
35,0,4.0,30,2,240.0,Sedentary
49,0,9.0,30,7,1890.0,Very Active
48,0,9.0,20,2,360.0,Light
32,1,10.0,20,4,800.0,Moderate
75,0,1.2,20,2,48.0,Sedentary
41,1,10.0,60,7,4200.0,Very Active
29,1,3.5,45,5,787.5,Moderate
53,0,10.0,60,6,3600.0,Very Active
44,1,3.8,60,5,1140.0,Active
60,1,7.3,30,4,876.0,Moderate
63,1,3.3,30,3,297.0,Light
26,0,1.5,20,1,30.0,Sedentary
26,1,7.0,45,3,945.0,Moderate
42,0,10.0,20,1,200.0,Sedentary
32,0,3.5,30,1,105.0,Sedentary
70,1,8.0,30,3,720.0,Moderate
64,1,7.0,30,7,1470.0,Active
70,0,7.0,30,7,1470.0,Active
33,1,3.3,20,4,264.0,Sedentary
38,0,4.0,60,7,1680.0,Active
39,1,2.0,30,4,240.0,Sedentary
64,1,3.0,30,3,270.0,Light
45,0,7.0,60,5,2100.0,Very Active
25,0,3.0,45,5,675.0,Moderate
47,1,7.0,60,4,1680.0,Active
49,0,8.0,45,2,720.0,Moderate
71,0,3.5,30,5,525.0,Moderate
18,1,7.0,30,1,210.0,Sedentary
42,0,8.0,60,3,1440.0,Active
18,1,7.0,20,1,140.0,Sedentary
