"goal_text","label"
"Trying to build overall mass for strength","gain"
"I am aiming to lose extra kilos over time","loss"
"Want to bulk up and gain healthy weight","gain"
"Looking to add size for strength","gain"
"I want to maintain my overall wellness long term","maintain"
"Just trying to stay fitness as it is","maintain"
"Need to burn unwanted fat safely","loss"
"I want to gain overall mass","gain"
"I want to slim down by reducing overall body fat","loss"
"My aim is to preserve my weight","maintain"
"Trying to stay in health consistently","maintain"
"My aim is to preserve my weight","maintain"
"Focus is overall physique without weight change","maintain"
"My goal is fat loss and excess weight naturally","loss"
"My goal is muscle gain and body mass in a healthy way","gain"
"Looking to decrease weight in a healthy way","loss"
"I want to grow my muscle in a healthy way","gain"
"My goal is muscle gain and healthy weight naturally","gain"
"My goal is fat loss and extra kilos in a healthy way","loss"
"I want to keep my current body stable","maintain"
"Need to increase muscle mass naturally","gain"
"Planning to cut fat safely","loss"
"I want to keep my current body stable","maintain"
"I am aiming to lose overall body fat naturally","loss"
"I want to grow my overall mass","gain"
"Looking to add healthy weight for gym training","gain"
"I am aiming to lose extra kilos naturally","loss"
"Planning to cut unwanted fat naturally","loss"
"Trying to put on lean muscle naturally","gain"
"I want to get lean by losing unwanted fat naturally","loss"
"Looking to decrease overall body fat naturally","loss"
"Just trying to stay body condition consistently","maintain"
"Trying to build strength","gain"
"I want to keep my fitness stable without weight change","maintain"
"My aim is to preserve my physique consistently","maintain"
"No weight change, just weight without weight change","maintain"
"Need to increase strength naturally","gain"
"I am aiming to lose excess weight in a healthy way","loss"
"Looking to add healthy weight naturally","gain"
"My aim is to preserve my shape consistently","maintain"
"Need to increase overall mass for gym training","gain"
"Planning to cut belly fat","loss"
"I want to slim down by reducing overall body fat","loss"
"Want to bulk up and gain body mass in a healthy way","gain"
"I want to lose body fat over time","loss"
"Trying to build size","gain"
"I want to continue being health as it is","maintain"
"I am aiming to lose overall body fat","loss"
"My aim is to preserve my health consistently","maintain"
"No weight change, just fitness without weight change","maintain"
"I want to lose fat over time","loss"
"Want to bulk up and gain overall mass for gym training","gain"
"Want to bulk up and gain weight","gain"
"Need to burn excess weight safely","loss"
"My goal is to remain overall wellness","maintain"
"My goal is fat loss and calories","loss"
"Need to burn calories","loss"
"Trying to build healthy weight for strength","gain"
"I want to get lean by losing overall body fat over time","loss"
"Want to bulk up and gain strength in a healthy way","gain"
"Looking to add weight naturally","gain"
"I want to lose body fat over time","loss"
"I want to continue being shape as it is","maintain"
"Focus is overall health","maintain"
"I want to continue being current body without weight change","maintain"
"My aim is to preserve my weight consistently","maintain"
"I want to continue being present fitness level without weight change","maintain"
"Need to increase lean muscle naturally","gain"
"Trying to drop calories safely","loss"
"Want to bulk up and gain muscle in a healthy way","gain"
"No weight change, just physique as it is","maintain"
"I want to keep my current body stable","maintain"
"My goal is to remain fitness without weight change","maintain"
"I want to grow my muscle mass for strength","gain"
"I want to lose excess weight in a healthy way","loss"
"Trying to build muscle naturally","gain"
"Just trying to stay current body long term","maintain"
"No weight change, just body condition as it is","maintain"
"Looking to decrease unwanted fat","loss"
"Just trying to stay weight without weight change","maintain"
"My aim is to preserve my fitness long term","maintain"
"My goal is to remain body condition","maintain"
"I am aiming to increase muscle mass for gym training","gain"
"Trying to build overall mass","gain"
"I am aiming to increase body mass for gym training","gain"
"I want to maintain my weight","maintain"
"Trying to reduce weight in a healthy way","loss"
"Need to burn body fat in a healthy way","loss"
"Trying to drop unwanted fat safely","loss"
"Looking to add lean muscle for strength","gain"
"I am aiming to lose belly fat in a healthy way","loss"
"I want to keep my weight stable without weight change","maintain"
"Trying to drop belly fat in a healthy way","loss"
"Trying to stay in body condition without weight change","maintain"
"No weight change, just health as it is","maintain"
"No weight change, just body condition consistently","maintain"
"Trying to build size in a healthy way","gain"
"Focus is overall body condition consistently","maintain"
"My goal is fat loss and calories naturally","loss"
"Trying to reduce fat in a healthy way","loss"
"I want to maintain my shape as it is","maintain"
"Just trying to stay overall wellness","maintain"
"I want to get lean by losing overall body fat naturally","loss"
"Trying to stay in fitness long term","maintain"
"I am aiming to increase lean muscle","gain"
"Want to bulk up and gain muscle","gain"
"Planning to cut waist fat over time","loss"
"My goal is to remain weight as it is","maintain"
"I want to gain lean muscle naturally","gain"
"My aim is to preserve my present fitness level","maintain"
"I want to gain lean muscle","gain"
"Trying to drop unwanted fat naturally","loss"
"I want to slim down by reducing body fat naturally","loss"
"Trying to build size for strength","gain"
"Trying to drop weight safely","loss"
"My aim is to preserve my shape consistently","maintain"
"No weight change, just current body without weight change","maintain"
"My goal is muscle gain and muscle naturally","gain"
"My goal is to remain health consistently","maintain"
"Trying to reduce body fat","loss"
"Just trying to stay weight","maintain"
"I want to lose waist fat naturally","loss"
"No weight change, just fitness as it is","maintain"
"I want to keep my physique stable as it is","maintain"
"I want to keep my health stable","maintain"
"Looking to decrease fat naturally","loss"
"Want to bulk up and gain healthy weight naturally","gain"
"I want to gain lean muscle in a healthy way","gain"
"I want to maintain my body condition without weight change","maintain"
"Need to burn fat in a healthy way","loss"
"Planning to cut calories safely","loss"
"Planning to cut fat safely","loss"
"I want to gain muscle in a healthy way","gain"
"Trying to put on muscle mass in a healthy way","gain"
"Looking to decrease unwanted fat naturally","loss"
"Need to burn calories in a healthy way","loss"
"My aim is to preserve my fitness as it is","maintain"
"Focus is overall fitness long term","maintain"
"I want to lose unwanted fat","loss"
"I want to slim down by reducing calories","loss"
"Planning to cut waist fat naturally","loss"
"Trying to stay in present fitness level long term","maintain"
"Looking to decrease belly fat safely","loss"
"Trying to put on size naturally","gain"
"Trying to build muscle for gym training","gain"
"My goal is muscle gain and body mass in a healthy way","gain"
"Trying to reduce overall body fat naturally","loss"
"Trying to drop body fat over time","loss"
"Trying to drop excess weight over time","loss"
"Trying to stay in present fitness level without weight change","maintain"
"No weight change, just shape","maintain"
"Trying to put on muscle mass","gain"
"Just trying to stay physique without weight change","maintain"
"Need to increase size in a healthy way","gain"
"Trying to build lean muscle naturally","gain"
"I want to slim down by reducing unwanted fat naturally","loss"
"I want to gain healthy weight naturally","gain"
"I want to grow my muscle mass for gym training","gain"
"Trying to reduce overall body fat safely","loss"
"Trying to stay in body condition as it is","maintain"
"Trying to drop calories","loss"
"I want to get lean by losing waist fat safely","loss"
"I want to maintain my body condition consistently","maintain"
"Trying to build strength in a healthy way","gain"
"I want to keep my fitness stable consistently","maintain"
"My goal is fat loss and waist fat","loss"
"I am aiming to lose extra kilos naturally","loss"
"Looking to decrease body fat naturally","loss"
"I want to slim down by reducing excess weight naturally","loss"
"My goal is muscle gain and lean muscle for strength","gain"
"Trying to drop unwanted fat","loss"
"I am aiming to increase lean muscle for strength","gain"
"Trying to stay in physique as it is","maintain"
"Trying to build muscle mass naturally","gain"
"Trying to drop extra kilos naturally","loss"
"I want to lose overall body fat in a healthy way","loss"
"My goal is fat loss and excess weight safely","loss"
"Looking to decrease waist fat naturally","loss"
"Trying to drop overall body fat","loss"
"No weight change, just present fitness level as it is","maintain"
"No weight change, just present fitness level as it is","maintain"
"My goal is fat loss and unwanted fat safely","loss"
"Trying to build strength in a healthy way","gain"
"Planning to cut overall body fat in a healthy way","loss"
"Trying to stay in fitness consistently","maintain"
"No weight change, just fitness long term","maintain"
"My goal is to remain weight as it is","maintain"
"Looking to add size for strength","gain"
"Trying to put on weight for strength","gain"
"Trying to put on muscle in a healthy way","gain"
"I want to keep my current body stable without weight change","maintain"
"Trying to build overall mass","gain"
"I want to grow my body mass for strength","gain"
"I want to lose calories naturally","loss"
"Just trying to stay overall wellness as it is","maintain"
"Looking to add healthy weight for strength","gain"
"Trying to build muscle for gym training","gain"
"Just trying to stay present fitness level long term","maintain"
"My goal is to remain current body long term","maintain"
"I am aiming to increase muscle for strength","gain"
"Need to burn unwanted fat in a healthy way","loss"
"Just trying to stay current body without weight change","maintain"
"I want to gain body mass for strength","gain"
"My goal is to remain current body","maintain"
"I want to get lean by losing calories over time","loss"
"My goal is muscle gain and body mass for gym training","gain"
"Just trying to stay overall wellness","maintain"
"I want to slim down by reducing excess weight in a healthy way","loss"
"I want to continue being current body as it is","maintain"
"Trying to stay in shape","maintain"
"I want to gain healthy weight for gym training","gain"
"No weight change, just overall wellness without weight change","maintain"
"I want to grow my strength for strength","gain"
"My goal is to remain current body","maintain"
"I want to grow my overall mass in a healthy way","gain"
"No weight change, just body condition without weight change","maintain"
"Trying to reduce fat safely","loss"
"I am aiming to lose body fat safely","loss"
"My goal is muscle gain and weight for gym training","gain"
"I want to slim down by reducing waist fat over time","loss"
"I am aiming to increase size for gym training","gain"
"Need to increase size naturally","gain"
"Looking to add muscle mass","gain"
"Trying to reduce body fat in a healthy way","loss"
"Trying to reduce body fat over time","loss"
"Trying to stay in current body long term","maintain"
"My goal is muscle gain and body mass for strength","gain"
"Need to burn excess weight in a healthy way","loss"
"I want to continue being physique without weight change","maintain"
"I want to continue being weight long term","maintain"
"I am aiming to increase muscle in a healthy way","gain"
"Looking to decrease body fat safely","loss"
"Want to bulk up and gain healthy weight naturally","gain"
"Looking to decrease belly fat in a healthy way","loss"
"My aim is to preserve my weight long term","maintain"
"I want to maintain my present fitness level","maintain"
"I want to continue being present fitness level consistently","maintain"
"I want to keep my health stable","maintain"
"I am aiming to lose body fat in a healthy way","loss"
"My goal is muscle gain and body mass","gain"
"No weight change, just body condition consistently","maintain"
"Focus is overall physique without weight change","maintain"
"No weight change, just body condition","maintain"
"I want to get lean by losing extra kilos","loss"
"Need to increase muscle mass for gym training","gain"
"My goal is to remain fitness long term","maintain"
"Looking to decrease overall body fat naturally","loss"
"Trying to build overall mass in a healthy way","gain"
"Trying to put on healthy weight naturally","gain"
"Want to bulk up and gain lean muscle in a healthy way","gain"
"My goal is fat loss and overall body fat","loss"
"Looking to add overall mass in a healthy way","gain"
"Need to burn fat safely","loss"
"I am aiming to lose unwanted fat","loss"
"I want to keep my body condition stable long term","maintain"
"Need to increase overall mass","gain"
"Trying to drop belly fat over time","loss"
"Focus is overall current body as it is","maintain"
"My goal is to remain fitness consistently","maintain"
"My goal is muscle gain and weight in a healthy way","gain"
"I want to keep my physique stable as it is","maintain"
"I am aiming to lose calories in a healthy way","loss"
"Need to increase body mass","gain"
"Planning to cut excess weight in a healthy way","loss"
"No weight change, just fitness long term","maintain"
"I want to keep my weight stable long term","maintain"
"My goal is muscle gain and lean muscle","gain"
"I want to grow my healthy weight","gain"
"Looking to add size for strength","gain"
"Trying to build healthy weight naturally","gain"
"Want to bulk up and gain healthy weight in a healthy way","gain"
"I want to continue being physique long term","maintain"
"Trying to drop weight safely","loss"
"Trying to build healthy weight naturally","gain"
"Looking to add overall mass","gain"
"I want to gain healthy weight for strength","gain"
"I want to grow my body mass","gain"
"I want to grow my size naturally","gain"
"I want to lose belly fat naturally","loss"
"I want to gain lean muscle","gain"
"Trying to build overall mass for strength","gain"
"I want to get lean by losing body fat","loss"
"Trying to reduce overall body fat safely","loss"
"Need to burn body fat","loss"
"I want to gain weight for strength","gain"
"I am aiming to lose calories","loss"
"My goal is to remain physique without weight change","maintain"
"No weight change, just shape consistently","maintain"
"Need to increase size in a healthy way","gain"
"Looking to decrease weight safely","loss"
"I want to maintain my present fitness level long term","maintain"
"My goal is muscle gain and muscle mass for gym training","gain"
"My goal is to remain health as it is","maintain"
"Just trying to stay health long term","maintain"
"I want to maintain my health without weight change","maintain"
"Planning to cut belly fat in a healthy way","loss"
"Want to bulk up and gain overall mass for gym training","gain"
"I am aiming to increase size","gain"
"I want to continue being weight as it is","maintain"
"Need to increase size","gain"
"Trying to build strength in a healthy way","gain"
"Need to increase strength for gym training","gain"
"I want to slim down by reducing excess weight in a healthy way","loss"
"I am aiming to lose unwanted fat over time","loss"
"I want to lose waist fat","loss"
"My goal is to remain physique consistently","maintain"
"Looking to decrease unwanted fat safely","loss"
"I want to maintain my physique without weight change","maintain"
"I want to slim down by reducing waist fat in a healthy way","loss"
"I want to continue being weight as it is","maintain"
"Want to bulk up and gain body mass for gym training","gain"
"I want to maintain my shape consistently","maintain"
"Focus is overall shape without weight change","maintain"
"I want to maintain my physique without weight change","maintain"
"I want to lose belly fat naturally","loss"
"Looking to add strength for strength","gain"
"My goal is to remain overall wellness consistently","maintain"
"I am aiming to increase healthy weight in a healthy way","gain"
"I want to grow my size","gain"
"I am aiming to lose unwanted fat","loss"
"Want to bulk up and gain muscle mass in a healthy way","gain"
"I want to get lean by losing extra kilos naturally","loss"
"I want to continue being overall wellness","maintain"
"I want to keep my present fitness level stable long term","maintain"
"I want to continue being weight","maintain"
"I want to get lean by losing unwanted fat safely","loss"
"I am aiming to increase muscle mass for strength","gain"
"Trying to drop weight in a healthy way","loss"
"Looking to add body mass for gym training","gain"
"Looking to add size for gym training","gain"
"Looking to add body mass in a healthy way","gain"
"Trying to stay in current body without weight change","maintain"
"I want to grow my muscle","gain"
"My goal is muscle gain and strength naturally","gain"
"I want to maintain my health as it is","maintain"
"My goal is muscle gain and overall mass","gain"
"I want to get lean by losing overall body fat naturally","loss"
"Trying to reduce excess weight","loss"
"My goal is to remain present fitness level as it is","maintain"
"Planning to cut fat over time","loss"
"I want to get lean by losing body fat safely","loss"
"My goal is fat loss and weight safely","loss"
"I want to grow my healthy weight in a healthy way","gain"
"Want to bulk up and gain muscle mass in a healthy way","gain"
"Need to burn waist fat in a healthy way","loss"
"I want to keep my shape stable long term","maintain"
"I am aiming to increase lean muscle","gain"
"Need to increase muscle naturally","gain"
"I want to keep my health stable","maintain"
"Trying to drop overall body fat naturally","loss"
"Need to burn belly fat over time","loss"
"Looking to add weight for strength","gain"
"I want to slim down by reducing body fat","loss"
"Trying to put on body mass","gain"
"I am aiming to increase weight for strength","gain"
"Trying to put on strength","gain"
"Just trying to stay fitness long term","maintain"
"My goal is muscle gain and weight for gym training","gain"
"Need to burn belly fat","loss"
"Need to increase strength for gym training","gain"
"Focus is overall present fitness level consistently","maintain"
"No weight change, just present fitness level without weight change","maintain"
"Need to burn calories","loss"
"I want to keep my fitness stable","maintain"
"No weight change, just health","maintain"
"My goal is to remain body condition long term","maintain"
"I want to grow my muscle for strength","gain"
"No weight change, just shape long term","maintain"
"I want to keep my health stable as it is","maintain"
"Looking to add overall mass for strength","gain"
"My goal is fat loss and excess weight over time","loss"
"Just trying to stay health consistently","maintain"
"No weight change, just current body as it is","maintain"
"Trying to reduce overall body fat","loss"
"I want to maintain my fitness without weight change","maintain"
"My goal is muscle gain and weight","gain"
"My goal is to remain physique","maintain"
"Need to increase weight naturally","gain"
"My goal is fat loss and unwanted fat in a healthy way","loss"
"Need to burn unwanted fat","loss"
"I want to keep my weight stable without weight change","maintain"
"I want to maintain my body condition long term","maintain"
"I want to lose unwanted fat safely","loss"
"I want to slim down by reducing excess weight naturally","loss"
"I want to lose extra kilos","loss"
"Looking to decrease extra kilos over time","loss"
"No weight change, just shape without weight change","maintain"
"I want to slim down by reducing unwanted fat over time","loss"
"Trying to put on healthy weight","gain"
"Looking to decrease calories naturally","loss"
"My goal is to remain physique","maintain"
"Planning to cut weight safely","loss"
"I want to lose belly fat over time","loss"
"Trying to reduce weight","loss"
"Want to bulk up and gain weight in a healthy way","gain"
"Focus is overall physique long term","maintain"
"I want to get lean by losing belly fat safely","loss"
"Trying to reduce weight naturally","loss"
"Trying to stay in weight long term","maintain"
"Trying to reduce excess weight naturally","loss"
"Just trying to stay weight without weight change","maintain"
"I want to grow my muscle mass in a healthy way","gain"
"Trying to stay in fitness without weight change","maintain"
"Trying to build weight for strength","gain"
"Trying to build lean muscle","gain"
"I want to grow my muscle mass naturally","gain"
"I want to keep my physique stable without weight change","maintain"
"I am aiming to increase muscle naturally","gain"
"Want to bulk up and gain strength in a healthy way","gain"
"Want to bulk up and gain strength in a healthy way","gain"
"Focus is overall current body without weight change","maintain"
"My aim is to preserve my physique long term","maintain"
"I want to slim down by reducing weight naturally","loss"
"My goal is fat loss and waist fat in a healthy way","loss"
"Looking to add lean muscle for gym training","gain"
"I am aiming to lose fat in a healthy way","loss"
"Trying to stay in present fitness level as it is","maintain"
"I want to continue being current body","maintain"
"Trying to put on strength naturally","gain"
"Trying to drop weight in a healthy way","loss"
"I want to keep my body condition stable consistently","maintain"
"I want to gain strength for strength","gain"
"I want to maintain my overall wellness","maintain"
"No weight change, just weight consistently","maintain"
"My goal is muscle gain and muscle naturally","gain"
"Want to bulk up and gain muscle in a healthy way","gain"
"Need to increase healthy weight for strength","gain"
"Looking to decrease fat in a healthy way","loss"
"My goal is to remain health without weight change","maintain"
"I want to gain lean muscle for gym training","gain"
"Looking to decrease extra kilos over time","loss"
"Trying to put on size for strength","gain"
"My goal is to remain overall wellness consistently","maintain"
"My aim is to preserve my shape consistently","maintain"
"Need to increase body mass for gym training","gain"
"Trying to build body mass for gym training","gain"
"I want to gain body mass in a healthy way","gain"
"I want to continue being weight without weight change","maintain"
"Need to burn weight naturally","loss"
"No weight change, just overall wellness consistently","maintain"
"I want to keep my physique stable as it is","maintain"
"My goal is fat loss and excess weight naturally","loss"
"Trying to stay in health as it is","maintain"
"Trying to put on overall mass naturally","gain"
"Planning to cut calories","loss"
"Trying to build weight in a healthy way","gain"
"I want to get lean by losing fat over time","loss"
"Want to bulk up and gain muscle mass for gym training","gain"
"My goal is muscle gain and healthy weight for strength","gain"
"Looking to add muscle","gain"
"My goal is muscle gain and strength naturally","gain"
"Trying to stay in present fitness level long term","maintain"
"Focus is overall weight as it is","maintain"
"I want to grow my overall mass","gain"
"I want to get lean by losing excess weight","loss"
"Looking to decrease overall body fat naturally","loss"
"I want to grow my muscle mass for gym training","gain"
"Looking to decrease body fat naturally","loss"
"Need to increase lean muscle for strength","gain"
"Trying to stay in health as it is","maintain"
"Trying to build weight naturally","gain"
"Need to burn unwanted fat in a healthy way","loss"
"I want to slim down by reducing belly fat safely","loss"
"Trying to stay in current body as it is","maintain"
"I want to lose weight naturally","loss"
"I want to maintain my overall wellness consistently","maintain"
"My goal is to remain shape without weight change","maintain"
"Looking to decrease overall body fat naturally","loss"
"Just trying to stay weight as it is","maintain"
"I want to keep my present fitness level stable as it is","maintain"
"I want to keep my overall wellness stable long term","maintain"
"I want to slim down by reducing fat in a healthy way","loss"
"Just trying to stay physique as it is","maintain"
"I want to get lean by losing overall body fat safely","loss"
"I want to lose unwanted fat","loss"
"Just trying to stay shape without weight change","maintain"
"I want to keep my body condition stable without weight change","maintain"
"Need to burn calories","loss"
"I want to keep my weight stable without weight change","maintain"
"My goal is muscle gain and overall mass naturally","gain"
"Trying to stay in health as it is","maintain"
"Looking to decrease fat safely","loss"
"Trying to put on healthy weight in a healthy way","gain"
"I want to get lean by losing belly fat in a healthy way","loss"
"Focus is overall weight","maintain"
"Trying to build healthy weight for strength","gain"
"Looking to decrease fat","loss"
"I want to continue being body condition without weight change","maintain"
"Need to increase muscle for strength","gain"
"Trying to reduce unwanted fat","loss"
"Looking to add strength naturally","gain"
"I want to keep my weight stable without weight change","maintain"
"I want to gain lean muscle naturally","gain"
"Trying to reduce overall body fat safely","loss"
"My goal is fat loss and unwanted fat naturally","loss"
"Trying to drop overall body fat","loss"
"I want to keep my body condition stable long term","maintain"
"I want to maintain my physique long term","maintain"
"Trying to build healthy weight in a healthy way","gain"
"My aim is to preserve my health","maintain"
"My aim is to preserve my current body as it is","maintain"
"Trying to build healthy weight","gain"
"My goal is to remain shape long term","maintain"
"I want to grow my size","gain"
"Trying to drop waist fat over time","loss"
"Trying to drop excess weight over time","loss"
"Trying to put on weight naturally","gain"
"No weight change, just body condition without weight change","maintain"
"Looking to add muscle","gain"
"My goal is fat loss and extra kilos naturally","loss"
"Trying to reduce excess weight","loss"
"I want to maintain my weight without weight change","maintain"
"I want to maintain my physique long term","maintain"
"I am aiming to increase weight for gym training","gain"
"Planning to cut unwanted fat naturally","loss"
"Just trying to stay body condition without weight change","maintain"
"My goal is muscle gain and size for gym training","gain"
"Trying to put on muscle for gym training","gain"
"I am aiming to increase healthy weight for strength","gain"
"Looking to add muscle mass in a healthy way","gain"
"I want to grow my lean muscle","gain"
"I want to grow my lean muscle for strength","gain"
"My goal is fat loss and body fat over time","loss"
"I want to get lean by losing belly fat naturally","loss"
"My goal is fat loss and waist fat in a healthy way","loss"
"Looking to add muscle for gym training","gain"
"My goal is to remain overall wellness","maintain"
"Want to bulk up and gain muscle mass for strength","gain"
"I want to keep my health stable long term","maintain"
"No weight change, just overall wellness","maintain"
"No weight change, just current body","maintain"
"My goal is to remain present fitness level as it is","maintain"
"My goal is to remain overall wellness","maintain"
"Trying to put on muscle naturally","gain"
"Planning to cut body fat over time","loss"
"Want to bulk up and gain size in a healthy way","gain"
"Looking to add weight in a healthy way","gain"
"I want to slim down by reducing calories over time","loss"
"My goal is muscle gain and body mass for strength","gain"
"I want to continue being weight consistently","maintain"
"I want to grow my body mass naturally","gain"
"I want to keep my body condition stable as it is","maintain"
"I want to gain lean muscle naturally","gain"
"Looking to add muscle mass for strength","gain"
"I want to keep my health stable long term","maintain"
"I want to continue being overall wellness without weight change","maintain"
"I want to gain lean muscle","gain"
